Age  April 1, 2010	Population Estimates (as of July 1)
Census	Estimates Base	2010	2011
Both Sexes	Male	Female	Both Sexes	Male	Female	Both Sexes	Male	Female	Both Sexes	Male	Female
40	4,383,274	2,191,249	2,192,025	4,383,274	2,191,249	2,192,025	4,387,008	2,189,521	2,197,487	4,323,778	2,148,028	2,175,750
41	4,114,985	2,047,818	2,067,167	4,114,985	2,047,818	2,067,167	4,163,057	2,073,879	2,089,178	4,384,253	2,187,138	2,197,115
42	4,076,104	2,028,653	2,047,451	4,076,104	2,028,653	2,047,451	4,082,378	2,031,785	2,050,593	4,159,664	2,071,160	2,088,504
43	4,105,105	2,035,990	2,069,115	4,105,105	2,035,990	2,069,115	4,093,298	2,030,883	2,062,415	4,078,100	2,028,670	2,049,430
44	4,211,496	2,090,267	2,121,229	4,211,496	2,090,267	2,121,229	4,177,901	2,074,453	2,103,448	4,087,850	2,027,163	2,060,687
45	4,508,868	2,237,450	2,271,418	4,508,868	2,237,450	2,271,418	4,437,940	2,201,767	2,236,173	4,170,798	2,069,751	2,101,047
46	4,519,761	2,230,982	2,288,779	4,519,761	2,230,982	2,288,779	4,529,155	2,238,676	2,290,479	4,428,601	2,195,885	2,232,716
47	4,535,265	2,238,248	2,297,017	4,535,265	2,238,248	2,297,017	4,534,738	2,237,683	2,297,055	4,517,819	2,231,566	2,286,253
48	4,538,796	2,237,734	2,301,062	4,538,796	2,237,734	2,301,062	4,534,104	2,235,170	2,298,934	4,521,355	2,229,381	2,291,974
49	4,605,901	2,264,671	2,341,230	4,605,901	2,264,671	2,341,230	4,598,671	2,262,375	2,336,296	4,519,432	2,226,118	2,293,314
50	4,660,295	2,300,354	2,359,941	4,660,295	2,300,354	2,359,941	4,645,555	2,290,547	2,355,008	4,581,833	2,251,877	2,329,956
51	4,464,631	2,190,766	2,273,865	4,464,631	2,190,766	2,273,865	4,498,267	2,209,520	2,288,747	4,626,453	2,278,457	2,347,996
52	4,500,846	2,207,246	2,293,600	4,500,846	2,207,246	2,293,600	4,480,095	2,196,976	2,283,119	4,478,180	2,196,781	2,281,399
53	4,380,354	2,141,354	2,239,000	4,380,354	2,141,354	2,239,000	4,438,705	2,170,716	2,267,989	4,458,125	2,183,182	2,274,943
54	4,291,999	2,093,554	2,198,445	4,291,999	2,093,554	2,198,445	4,288,056	2,091,554	2,196,502	4,415,607	2,156,249	2,259,358
55	4,254,709	2,073,473	2,181,236	4,254,709	2,073,473	2,181,236	4,258,308	2,074,993	2,183,315	4,263,989	2,076,344	2,187,645
56	4,037,513	1,956,141	2,081,372	4,037,513	1,956,141	2,081,372	4,092,753	1,984,412	2,108,341	4,232,520	2,058,561	2,173,959
57	3,936,386	1,905,355	2,031,031	3,936,386	1,905,355	2,031,031	3,946,015	1,909,850	2,036,165	4,066,089	1,967,413	2,098,676
58	3,794,928	1,834,808	1,960,120	3,794,928	1,834,808	1,960,120	3,802,234	1,838,732	1,963,502	3,918,566	1,892,452	2,026,114
59	3,641,269	1,753,871	1,887,398	3,641,269	1,753,871	1,887,398	3,694,205	1,779,654	1,914,551	3,774,384	1,821,281	1,953,103
60	3,621,131	1,745,507	1,875,624	3,621,131	1,745,507	1,875,624	3,616,173	1,742,017	1,874,156	3,664,521	1,761,228	1,903,293
61	3,492,596	1,679,077	1,813,519	3,492,596	1,679,077	1,813,519	3,519,716	1,691,248	1,828,468	3,584,377	1,722,457	1,861,920
62	3,563,182	1,712,692	1,850,490	3,563,182	1,712,692	1,850,490	3,494,969	1,679,063	1,815,906	3,487,302	1,671,482	1,815,820
63	3,483,884	1,672,329	1,811,555	3,483,884	1,672,329	1,811,555	3,651,411	1,753,537	1,897,874	3,459,297	1,657,509	1,801,788
64	2,657,131	1,267,895	1,389,236	2,657,131	1,267,895	1,389,236	2,705,735	1,291,794	1,413,941	3,611,095	1,729,478	1,881,617
65	2,680,761	1,273,310	1,407,451	2,680,761	1,273,310	1,407,451	2,677,931	1,272,468	1,405,463	2,672,909	1,272,356	1,400,553
66	2,639,141	1,248,276	1,390,865	2,639,141	1,248,276	1,390,865	2,621,227	1,239,724	1,381,503	2,643,148	1,251,872	1,391,276
67	2,649,365	1,248,906	1,400,459	2,649,365	1,248,906	1,400,459	2,693,457	1,270,050	1,423,407	2,584,544	1,218,210	1,366,334
68	2,323,672	1,087,296	1,236,376	2,323,672	1,087,296	1,236,376	2,359,666	1,105,601	1,254,065	2,652,309	1,246,213	1,406,096
69	2,142,324	994,759	1,147,565	2,142,324	994,759	1,147,565	2,167,963	1,006,896	1,161,067	2,320,878	1,083,279	1,237,599
70	2,043,121	945,611	1,097,510	2,043,121	945,611	1,097,510	2,062,467	954,094	1,108,373	2,129,501	985,133	1,144,368
71	1,949,323	900,148	1,049,175	1,949,323	900,148	1,049,175	1,953,433	903,215	1,050,218	2,022,340	931,609	1,090,731
72	1,864,275	853,726	1,010,549	1,864,275	853,726	1,010,549	1,883,573	862,458	1,021,115	1,911,624	879,841	1,031,783
73	1,736,960	787,863	949,097	1,736,960	787,863	949,097	1,750,098	794,567	955,531	1,839,285	837,914	1,001,371
74	1,684,487	756,624	927,863	1,684,487	756,624	927,863	1,685,861	758,779	927,082	1,705,200	769,886	935,314
